year_awarded,nobel_prize,recipient,gender,prize_amount,birth_place
1949,The Nobel Prize in  Literature,William Faulkner,male,156290,USA
1949,The Nobel Peace Prize,Lord Boyd Orr,male,156290,Scotland
1949,The Nobel Prize in Physics,Hideki Yukawa,male,156290,Japan
1949,The Nobel Prize in Physiology or Medicine,Walter Hess,male,156290,Switzerland
1950,The Nobel Prize in Chemistry,Otto Diels,male,164304,Germany
1950,The Nobel Prize in  Literature,Bertrand Russell,male,164304,United Kingdom
1950,The Nobel Peace Prize,Ralph Bunche,male,164304,USA
1950,The Nobel Prize in Physics,Cecil Powell,male,164304,United Kingdom
1950,The Nobel Prize in Physiology or Medicine,Edward C. Kendall,male,164304,USA
1951,The Nobel Prize in Chemistry,Edwin M. McMillan,male,167612,USA
1951,The Nobel Prize in  Literature,Pär Lagerkvist,male,167612,Sweden
1951,The Nobel Peace Prize,Léon Jouhaux,male,167612,France
1951,The Nobel Prize in Physics,John Cockcroft,male,167612,United Kingdom
1951,The Nobel Prize in Physiology or Medicine,Max Theiler,male,167612,South Africa
1952,The Nobel Prize in Chemistry,Archer J.P. Martin,male,171135,United Kingdom
1952,The Nobel Prize in  Literature,François Mauriac,male,171135,France
1952,The Nobel Peace Prize,Albert Schweitzer,male,171135,Germany
1952,The Nobel Prize in Physics,Felix Bloch,male,171135,Switzerland
1952,The Nobel Prize in Physiology or Medicine,Selman A. Waksman,male,171135,Russian Empire
1953,The Nobel Prize in Chemistry,Hermann Staudinger,male,175293,Germany
1953,The Nobel Prize in  Literature,Winston Churchill,male,175293,United Kingdom
1953,The Nobel Peace Prize,George C. Marshall,male,175293,USA
1953,The Nobel Prize in Physics,Frits Zernike,male,175293,the Netherlands
1953,The Nobel Prize in Physiology or Medicine,Hans Krebs,male,175293,Germany
1954,The Nobel Prize in Chemistry,Linus Pauling,male,181647,USA
1954,The Nobel Prize in  Literature,Ernest Hemingway,male,181647,USA
1954,The Nobel Peace Prize,Office of the United Nations High Commissioner for Refugees,NULL,181647,NULL
1954,The Nobel Prize in Physics,Max Born,male,181647,Germany
1954,The Nobel Prize in Physiology or Medicine,John F. Enders,male,181647,USA
1955,The Nobel Prize in Chemistry,Vincent du Vigneaud,male,190214,USA
1955,The Nobel Prize in  Literature,Halldór Laxness,male,190214,Iceland
1955,The Nobel Prize in Physics,Willis E. Lamb,male,190214,USA
1955,The Nobel Prize in Physiology or Medicine,Hugo Theorell,male,190214,Sweden
1956,The Nobel Prize in Chemistry,Sir Cyril Hinshelwood,male,200123,United Kingdom
1956,The Nobel Prize in  Literature,Juan Ramón Jiménez,male,200123,Spain
1956,The Nobel Prize in Physics,William B. Shockley,male,200123,United Kingdom
1956,The Nobel Prize in Physiology or Medicine,André F. Cournand,male,200123,France
1957,The Nobel Prize in Chemistry,Lord Todd,male,208629,Scotland
1957,The Nobel Prize in  Literature,Albert Camus,male,208629,French Algeria
1957,The Nobel Peace Prize,Lester Bowles Pearson,male,208629,Canada
1957,The Nobel Prize in Physics,Chen Ning Yang,male,208629,China
1957,The Nobel Prize in Physiology or Medicine,Daniel Bovet,male,208629,Switzerland
1958,The Nobel Prize in Chemistry,Frederick Sanger,male,214559,United Kingdom
1958,The Nobel Prize in  Literature,Boris Pasternak,male,214559,Russia
1958,The Nobel Peace Prize,Georges Pire,male,214559,Belgium
1958,The Nobel Prize in Physics,Pavel A. Cherenkov,male,214559,Russia
1958,The Nobel Prize in Physiology or Medicine,George Beadle,male,214559,USA
1959,The Nobel Prize in Chemistry,Jaroslav Heyrovsky,male,220678,Austria-Hungary
1959,The Nobel Prize in  Literature,Salvatore Quasimodo,male,220678,Italy
1959,The Nobel Peace Prize,Philip Noel-Baker,male,220678,United Kingdom
1959,The Nobel Prize in Physics,Emilio Segrè,male,220678,Italy
1959,The Nobel Prize in Physiology or Medicine,Severo Ochoa,male,220678,Spain
1960,The Nobel Prize in Chemistry,Willard F. Libby,male,225987,USA
1960,The Nobel Prize in  Literature,Saint-John Perse,male,225987,Guadeloupe Island
1960,The Nobel Peace Prize,Albert Luthuli,male,225987,Southern Rhodesia
1960,The Nobel Prize in Physics,Donald A. Glaser,male,225987,USA
1960,The Nobel Prize in Physiology or Medicine,Sir Frank Macfarlane Burnet,male,225987,Australia
1961,The Nobel Prize in Chemistry,Melvin Calvin,male,250233,USA
1961,The Nobel Prize in  Literature,Ivo Andric,male,250233,Bosnia
1961,The Nobel Peace Prize,Dag Hammarskjöld,male,250233,Sweden
1961,The Nobel Prize in Physics,Robert Hofstadter,male,250233,USA
1961,The Nobel Prize in Physiology or Medicine,Georg von Békésy,male,250233,Hungary
1962,The Nobel Prize in Chemistry,Max F. Perutz,male,257220,Austria
1962,The Nobel Prize in  Literature,John Steinbeck,male,257220,USA
1962,The Nobel Peace Prize,Linus Pauling,male,257220,USA
1962,The Nobel Prize in Physics,Lev Landau,male,257220,Russian Empire
1962,The Nobel Prize in Physiology or Medicine,Francis Crick,male,257220,United Kingdom
1963,The Nobel Prize in Chemistry,Karl Ziegler,male,265000,Germany
1963,The Nobel Prize in  Literature,Giorgos Seferis,male,265000,Ottoman Empire
1963,The Nobel Peace Prize,International Committee of the Red Cross,NULL,265000,NULL
1963,The Nobel Prize in Physics,Eugene Wigner,male,265000,Austria-Hungary
1963,The Nobel Prize in Physiology or Medicine,Sir John Eccles,male,265000,Australia
1964,The Nobel Prize in Chemistry,Dorothy Crowfoot Hodgkin,female,273000,Egypt
1964,The Nobel Prize in  Literature,Jean-Paul Sartre,male,273000,France
1964,The Nobel Peace Prize,Martin Luther King Jr.,male,273000,USA
1964,The Nobel Prize in Physics,Charles H. Townes,male,273000,USA
1964,The Nobel Prize in Physiology or Medicine,Konrad Bloch,male,273000,Germany
1965,The Nobel Prize in Chemistry,Robert B. Woodward,male,282000,USA
1965,The Nobel Prize in  Literature,Mikhail Sholokhov,male,282000,Russia
1965,The Nobel Peace Prize,United Nations Children's Fund,NULL,282000,NULL
1965,The Nobel Prize in Physics,Sin-Itiro Tomonaga,male,282000,Japan
1965,The Nobel Prize in Physiology or Medicine,François Jacob,male,282000,France
1966,The Nobel Prize in Chemistry,Robert S. Mulliken,male,300000,USA
1966,The Nobel Prize in  Literature,Shmuel Agnon,male,300000,Austria-Hungary
1966,The Nobel Prize in Physics,Alfred Kastler,male,300000,Germany
1966,The Nobel Prize in Physiology or Medicine,Peyton Rous,male,300000,USA
1967,The Nobel Prize in Chemistry,Manfred Eigen,male,320000,Germany
1967,The Nobel Prize in  Literature,Miguel Angel Asturias,male,320000,Guatemala
1967,The Nobel Prize in Physics,Hans Bethe,male,320000,Germany
1967,The Nobel Prize in Physiology or Medicine,Ragnar Granit,male,320000,Russian Empire
1968,The Nobel Prize in Chemistry,Lars Onsager,male,350000,Norway
1968,The Nobel Prize in  Literature,Yasunari Kawabata,male,350000,Japan
1968,The Nobel Peace Prize,René Cassin,male,350000,France
1968,The Nobel Prize in Physics,Luis Alvarez,male,350000,USA
1968,The Nobel Prize in Physiology or Medicine,Robert W. Holley,male,350000,USA
1969,The Nobel Prize in Chemistry,Derek Barton,male,375000,United Kingdom
1969,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Ragnar Frisch,male,375000,Norway
1969,The Nobel Prize in  Literature,Samuel Beckett,male,375000,Ireland
1969,The Nobel Peace Prize,International Labour Organization,NULL,375000,NULL
1969,The Nobel Prize in Physics,Murray Gell-Mann,male,375000,USA
1969,The Nobel Prize in Physiology or Medicine,Max Delbrück,male,375000,Germany
1970,The Nobel Prize in Chemistry,Luis Leloir,male,400000,France
1970,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Paul A. Samuelson,male,400000,USA
1970,The Nobel Prize in  Literature,Alexandr Solzhenitsyn,male,400000,Russia
1970,The Nobel Peace Prize,Norman Borlaug,male,400000,USA
1970,The Nobel Prize in Physics,Hannes Alfvén,male,400000,Sweden
1970,The Nobel Prize in Physiology or Medicine,Sir Bernard Katz,male,400000,Germany
1971,The Nobel Prize in Chemistry,Gerhard Herzberg,male,450000,Germany
1971,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Simon Kuznets,male,450000,Russian Empire
1971,The Nobel Prize in  Literature,Pablo Neruda,male,450000,Chile
1971,The Nobel Peace Prize,Willy Brandt,male,450000,Germany
1971,The Nobel Prize in Physics,Dennis Gabor,male,450000,Hungary
1971,The Nobel Prize in Physiology or Medicine,"Earl W. Sutherland, Jr.",male,450000,USA
1972,The Nobel Prize in Chemistry,Christian Anfinsen,male,480000,USA
1972,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,John R. Hicks,male,480000,United Kingdom
1972,The Nobel Prize in  Literature,Heinrich Böll,male,480000,Germany
1972,The Nobel Prize in Physics,John Bardeen,male,480000,USA
1972,The Nobel Prize in Physiology or Medicine,Gerald M. Edelman,male,480000,USA
1973,The Nobel Prize in Chemistry,Ernst Otto Fischer,male,510000,Germany
1973,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Wassily Leontief,male,510000,Russia
1973,The Nobel Prize in  Literature,Patrick White,male,510000,United Kingdom
1973,The Nobel Peace Prize,Henry Kissinger,male,510000,Germany
1973,The Nobel Prize in Physics,Leo Esaki,male,510000,Japan
1973,The Nobel Prize in Physiology or Medicine,Karl von Frisch,male,510000,Austria
1974,The Nobel Prize in Chemistry,Paul J. Flory,male,550000,USA
1974,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Gunnar Myrdal,male,550000,Sweden
1974,The Nobel Prize in  Literature,Eyvind Johnson,male,550000,Sweden
1974,The Nobel Peace Prize,Seán MacBride,male,550000,France
1974,The Nobel Prize in Physics,Martin Ryle,male,550000,United Kingdom
1974,The Nobel Prize in Physiology or Medicine,Albert Claude,male,550000,Belgium
1975,The Nobel Prize in Chemistry,John Cornforth,male,630000,Australia
1975,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Leonid Vitaliyevich Kantorovich,male,630000,Russian Empire
1975,The Nobel Prize in  Literature,Eugenio Montale,male,630000,Italy
1975,The Nobel Peace Prize,Andrei Sakharov,male,630000,Russia
1975,The Nobel Prize in Physics,Aage N. Bohr,male,630000,Denmark
1975,The Nobel Prize in Physiology or Medicine,David Baltimore,male,630000,USA
1976,The Nobel Prize in Chemistry,William Lipscomb,male,681000,USA
1976,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Milton Friedman,male,681000,USA
1976,The Nobel Prize in  Literature,Saul Bellow,male,681000,Canada
1976,The Nobel Peace Prize,Betty Williams,female,681000,Northern Ireland
1976,The Nobel Prize in Physics,Burton Richter,male,681000,USA
1976,The Nobel Prize in Physiology or Medicine,Baruch S. Blumberg,male,681000,USA
1977,The Nobel Prize in Chemistry,Ilya Prigogine,male,700000,Russia
1977,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Bertil Ohlin,male,700000,Sweden
1977,The Nobel Prize in  Literature,Vicente Aleixandre,male,700000,Spain
1977,The Nobel Peace Prize,Amnesty International,NULL,700000,NULL
1977,The Nobel Prize in Physics,Philip W. Anderson,male,700000,USA
1977,The Nobel Prize in Physiology or Medicine,Roger Guillemin,male,700000,France
1978,The Nobel Prize in Chemistry,Peter Mitchell,male,725000,United Kingdom
1978,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Herbert Simon,male,725000,USA
1978,The Nobel Prize in  Literature,Isaac Bashevis Singer,male,725000,Russian Empire
1978,The Nobel Peace Prize,Anwar al-Sadat,male,725000,Egypt
1978,The Nobel Prize in Physics,Pyotr Kapitsa,male,725000,Russian Empire
1978,The Nobel Prize in Physiology or Medicine,Werner Arber,male,725000,Switzerland
1979,The Nobel Prize in Chemistry,Herbert C. Brown,male,800000,United Kingdom
1979,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Theodore W. Schultz,male,800000,USA
1979,The Nobel Prize in  Literature,Odysseus Elytis,male,800000,Crete
1979,The Nobel Peace Prize,Mother Teresa ,female,800000,Ottoman Empire
1979,The Nobel Prize in Physics,Sheldon Glashow,male,800000,USA
1979,The Nobel Prize in Physiology or Medicine,Allan M. Cormack,male,800000,South Africa
1980,The Nobel Prize in Chemistry,Paul Berg,male,880000,USA
1980,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Lawrence R. Klein,male,880000,USA
1980,The Nobel Prize in  Literature,Czeslaw Milosz,male,880000,Russian Empire
1980,The Nobel Peace Prize,Adolfo Pérez Esquivel,male,880000,Argentina
1980,The Nobel Prize in Physics,James Cronin,male,880000,USA
